target_spk_ref,generated
Audios/Voice-Conversion/EN-EN/M-M/reference/p326_274.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p245_to_p326_sample_p326_274.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p302_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p245_to_p302_sample_p302_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p347_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p245_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p245_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p326_to_p245_sample_p245_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p302_052.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p326_to_p302_sample_p302_052.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p347_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p326_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p245_029.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p302_to_p245_sample_p245_029.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p326_274.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p302_to_p326_sample_p326_274.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p347_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p302_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p245_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p347_to_p245_sample_p245_005.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p326_274.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p347_to_p326_sample_p326_274.wav
Audios/Voice-Conversion/EN-EN/M-M/reference/p302_005.wav,Audios/Voice-Conversion/EN-EN/M-M/generated/p347_to_p302_sample_p302_005.wav
