target_spk_ref,generated
Audios/Voice-Conversion/EN-PT/F-M/reference/12287_12742_000007.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p225_to_12287_sample_12287_12742_000007.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/4367_3698_000029.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p225_to_4367_sample_4367_3698_000029.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/5677_4807_000009.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p225_to_5677_sample_5677_4807_000009.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/9351_9018_000354.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p225_to_9351_sample_9351_9018_000354.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/12287_12742_000004.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p335_to_12287_sample_12287_12742_000004.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/4367_4272_000319.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p335_to_4367_sample_4367_4272_000319.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/5677_4807_000094.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p335_to_5677_sample_5677_4807_000094.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/9351_9018_000209.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p335_to_9351_sample_9351_9018_000209.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/12287_12742_000004.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p294_to_12287_sample_12287_12742_000004.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/4367_4572_000124.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p294_to_4367_sample_4367_4572_000124.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/5677_4807_000009.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p294_to_5677_sample_5677_4807_000009.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/9351_9018_000194.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p294_to_9351_sample_9351_9018_000194.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/12287_12742_000007.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p261_to_12287_sample_12287_12742_000007.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/4367_4572_000124.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p261_to_4367_sample_4367_4572_000124.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/5677_4807_000051.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p261_to_5677_sample_5677_4807_000051.wav
Audios/Voice-Conversion/EN-PT/F-M/reference/9351_9018_000209.wav,Audios/Voice-Conversion/EN-PT/F-M/generated/p261_to_9351_sample_9351_9018_000209.wav
