target_spk_ref,generated
Audios/Voice-Conversion/EN-PT/M-F/reference/3050_2941_000034.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p245_to_3050_sample_3050_2941_000034.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/7925_6390_000008.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p245_to_7925_sample_7925_6390_000008.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/11995_10229_000002.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p245_to_11995_sample_11995_10229_000002.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/13069_13511_000013.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p245_to_13069_sample_13069_13511_000013.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/3050_2941_000034.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p326_to_3050_sample_3050_2941_000034.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/7925_6390_000008.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p326_to_7925_sample_7925_6390_000008.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/11995_10229_000007.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p326_to_11995_sample_11995_10229_000007.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/13069_13511_000012.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p326_to_13069_sample_13069_13511_000012.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/3050_2941_000034.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p302_to_3050_sample_3050_2941_000034.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/7925_6390_000003.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p302_to_7925_sample_7925_6390_000003.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/11995_10229_000008.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p302_to_11995_sample_11995_10229_000008.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/13069_13511_000006.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p302_to_13069_sample_13069_13511_000006.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/3050_2941_000012.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p347_to_3050_sample_3050_2941_000012.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/7925_6390_000003.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p347_to_7925_sample_7925_6390_000003.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/11995_10229_000008.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p347_to_11995_sample_11995_10229_000008.wav
Audios/Voice-Conversion/EN-PT/M-F/reference/13069_13511_000007.wav,Audios/Voice-Conversion/EN-PT/M-F/generated/p347_to_13069_sample_13069_13511_000007.wav
