target_spk_ref,generated
Audios/Voice-Conversion/EN-PT/M-M/reference/12287_12742_000007.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p245_to_12287_sample_12287_12742_000007.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/4367_4572_000124.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p245_to_4367_sample_4367_4572_000124.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/5677_4807_000009.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p245_to_5677_sample_5677_4807_000009.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/9351_9018_000209.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p245_to_9351_sample_9351_9018_000209.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/12287_12742_000007.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p326_to_12287_sample_12287_12742_000007.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/4367_4572_000124.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p326_to_4367_sample_4367_4572_000124.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/5677_4807_000094.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p326_to_5677_sample_5677_4807_000094.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/9351_9018_000231.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p326_to_9351_sample_9351_9018_000231.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/12287_12742_000007.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p302_to_12287_sample_12287_12742_000007.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/4367_3698_000029.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p302_to_4367_sample_4367_3698_000029.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/5677_4807_000251.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p302_to_5677_sample_5677_4807_000251.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/9351_9018_000194.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p302_to_9351_sample_9351_9018_000194.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/12287_12742_000003.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p347_to_12287_sample_12287_12742_000003.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/4367_3698_000029.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p347_to_4367_sample_4367_3698_000029.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/5677_4807_000251.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p347_to_5677_sample_5677_4807_000251.wav
Audios/Voice-Conversion/EN-PT/M-M/reference/9351_9018_000173.wav,Audios/Voice-Conversion/EN-PT/M-M/generated/p347_to_9351_sample_9351_9018_000173.wav
