target_spk_ref,generated
Audios/Voice-Conversion/PT-EN/F-F/reference/p225_166.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/3050_to_p225_sample_p225_166.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p335_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/3050_to_p335_sample_p335_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p294_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/3050_to_p294_sample_p294_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p261_064.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/3050_to_p261_sample_p261_064.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p225_166.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/7925_to_p225_sample_p225_166.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p335_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/7925_to_p335_sample_p335_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p294_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/7925_to_p294_sample_p294_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p261_064.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/7925_to_p261_sample_p261_064.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p225_166.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/11995_to_p225_sample_p225_166.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p335_022.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/11995_to_p335_sample_p335_022.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p294_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/11995_to_p294_sample_p294_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p261_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/11995_to_p261_sample_p261_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p225_007.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/13069_to_p225_sample_p225_007.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p335_022.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/13069_to_p335_sample_p335_022.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p294_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/13069_to_p294_sample_p294_005.wav
Audios/Voice-Conversion/PT-EN/F-F/reference/p261_005.wav,Audios/Voice-Conversion/PT-EN/F-F/generated/13069_to_p261_sample_p261_005.wav
