target_spk_ref,generated
Audios/Voice-Conversion/PT-EN/F-M/reference/p245_029.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/3050_to_p245_sample_p245_029.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p326_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/3050_to_p326_sample_p326_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p302_052.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/3050_to_p302_sample_p302_052.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p347_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/3050_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p245_029.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/7925_to_p245_sample_p245_029.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p326_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/7925_to_p326_sample_p326_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p302_052.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/7925_to_p302_sample_p302_052.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p347_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/7925_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p245_029.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/11995_to_p245_sample_p245_029.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p326_274.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/11995_to_p326_sample_p326_274.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p302_052.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/11995_to_p302_sample_p302_052.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p347_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/11995_to_p347_sample_p347_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p245_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/13069_to_p245_sample_p245_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p326_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/13069_to_p326_sample_p326_005.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p302_052.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/13069_to_p302_sample_p302_052.wav
Audios/Voice-Conversion/PT-EN/F-M/reference/p347_005.wav,Audios/Voice-Conversion/PT-EN/F-M/generated/13069_to_p347_sample_p347_005.wav
