audio_path,score,evaluator_id
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",1.0,3582100
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",2.0,3582010
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582018
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582004
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582017
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582055
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582092
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582076
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582000
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3582073
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582037
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582087
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582069
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582072
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",5.0,3582041
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3581995
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582094
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582022
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582077
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3582088
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3604146
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",3.0,3604029
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",1.0,3593697
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",4.0,3593733
"Exp.6/EN-PT/F-F/generated/p225_to_11995_sample_11995_10229_000002.wav, Exp.6/EN-PT/F-F/reference/11995_10229_000002.wav",5.0,3582031
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582055
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3581995
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",3.0,3582076
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3581997
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582069
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582022
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",5.0,3582049
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",2.0,3582064
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582090
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582067
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582095
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582000
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582077
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",3.0,3582018
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",5.0,3582091
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582045
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582004
"Exp.6/EN-PT/F-F/generated/p225_to_13069_sample_13069_13511_000005.wav, Exp.6/EN-PT/F-F/reference/13069_13511_000005.wav",4.0,3582063
