audio_path,score,evaluator_id
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580223
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",5.0,3580364
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580300
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580597
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580385
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",5.0,3580171
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580596
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580380
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580228
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580542
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580231
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",5.0,3580299
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",4.0,3580466
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_0.wav, reference/1089_134686_000008_000000.wav",5.0,3580284
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",1.0,3580567
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",5.0,3580407
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580194
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580241
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580442
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580450
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580179
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",5.0,3580480
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580176
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580233
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",5.0,3580486
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",4.0,3580584
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",5.0,3580376
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_1.wav, reference/1089_134686_000008_000000.wav",5.0,3580381
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",3.0,3580445
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",3.0,3580223
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",2.0,3580413
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580544
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580299
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",3.0,3580194
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580323
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",3.0,3580393
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580516
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580305
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580474
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580210
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",4.0,3580314
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580284
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580183
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580364
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_2.wav, reference/1089_134686_000008_000000.wav",5.0,3580568
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580171
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580409
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",2.0,3580386
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580483
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",3.0,3580478
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580630
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",3.0,3580503
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580304
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580542
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580649
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580502
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580541
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580376
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580512
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580663
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",4.0,3580573
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580616
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580364
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_3.wav, reference/1089_134686_000008_000000.wav",5.0,3580457
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",3.0,3580306
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",3.0,3580445
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",4.0,3580217
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",4.0,3580542
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",4.0,3580211
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",4.0,3580662
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",4.0,3580409
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",5.0,3580556
"Exp.1/model+SCL/English_LibriTTS_SECS/1089_4.wav, reference/1089_134686_000008_000000.wav",5.0,3580455
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",3.0,3580484
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",1.0,3580243
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",3.0,3580445
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580335
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580432
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",3.0,3580401
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580561
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580636
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",5.0,3580228
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",5.0,3580556
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580357
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",5.0,3580507
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",5.0,3580513
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",4.0,3580395
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_10.wav, reference/1188_133604_000006_000000.wav",5.0,3580328
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580222
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",3.0,3580335
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",5.0,3580516
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580619
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",5.0,3580380
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580277
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580239
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",5.0,3580210
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580183
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580329
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580610
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_11.wav, reference/1188_133604_000006_000000.wav",4.0,3580636
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",2.0,3580286
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580179
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580239
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",5.0,3580660
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580282
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580189
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580399
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580597
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",4.0,3580525
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",5.0,3580624
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",5.0,3580306
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",5.0,3580381
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_12.wav, reference/1188_133604_000006_000000.wav",5.0,3580356
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",4.0,3580201
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",3.0,3580243
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",4.0,3580636
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",4.0,3580222
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",4.0,3580608
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",5.0,3580507
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",5.0,3580472
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",3.0,3580652
"Exp.1/model+SCL/English_LibriTTS_SECS/1188_13.wav, reference/1188_133604_000006_000000.wav",5.0,3580516
